Trade #,Side,Entry Time,Entry Price,Exit Time,Exit Price,Position Size (USDT),PnL (USDT),PnL (%),Cumulative PnL (USDT)
787,SHORT,2022-06-09T18:35:59.999Z,1794.58,2022-06-09T21:13:59.999Z,1798.16,1000.00,-1.99,-0.1995,172.16
788,SHORT,2022-06-09T22:20:59.999Z,1791.26,2022-06-10T02:25:59.999Z,1786.97,1000.00,2.39,0.2395,174.55
789,SHORT,2022-06-10T06:48:59.999Z,1789.76,2022-06-10T22:19:59.999Z,1684.52,1000.00,58.80,5.8801,233.35
790,SHORT,2022-06-10T22:27:59.999Z,1676.83,2022-06-11T00:47:59.999Z,1680.73,1000.00,-2.33,-0.2326,231.03
791,SHORT,2022-06-11T02:12:59.999Z,1670.65,2022-06-11T04:30:59.999Z,1674.13,1000.00,-2.08,-0.2083,228.94
792,SHORT,2022-06-11T05:41:59.999Z,1672.05,2022-06-11T18:35:59.999Z,1540.64,1000.00,78.59,7.8592,307.54
793,SHORT,2022-06-11T20:29:59.999Z,1539.16,2022-06-11T22:12:59.999Z,1545.95,1000.00,-4.41,-0.4411,303.13
794,SHORT,2022-06-11T23:25:59.999Z,1537.36,2022-06-12T07:56:59.999Z,1465.96,1000.00,46.44,4.6443,349.57
795,SHORT,2022-06-12T10:13:59.999Z,1461.22,2022-06-12T10:25:59.999Z,1468.07,1000.00,-4.69,-0.4688,344.88
796,SHORT,2022-06-12T11:00:59.999Z,1455.55,2022-06-12T12:02:59.999Z,1473.22,1000.00,-12.14,-1.2140,332.74
797,SHORT,2022-06-12T13:06:59.999Z,1463.82,2022-06-12T14:36:59.999Z,1488.41,1000.00,-16.80,-1.6799,315.94
798,SHORT,2022-06-12T19:16:59.999Z,1497.56,2022-06-13T12:33:59.999Z,1251.00,1000.00,164.64,16.4641,480.58
799,SHORT,2022-06-13T13:04:59.999Z,1214.20,2022-06-13T13:59:59.999Z,1237.32,1000.00,-19.04,-1.9041,461.54
800,SHORT,2022-06-13T14:12:59.999Z,1218.02,2022-06-13T15:47:59.999Z,1232.65,1000.00,-12.01,-1.2011,449.53
801,SHORT,2022-06-13T17:30:59.999Z,1221.43,2022-06-13T18:04:59.999Z,1236.44,1000.00,-12.29,-1.2289,437.24
802,SHORT,2022-06-13T19:17:59.999Z,1225.85,2022-06-13T20:07:59.999Z,1246.40,1000.00,-16.76,-1.6764,420.48
803,SHORT,2022-06-13T21:42:59.999Z,1224.91,2022-06-14T03:49:59.999Z,1165.81,1000.00,48.25,4.8248,468.73
804,SHORT,2022-06-14T09:39:59.999Z,1212.30,2022-06-14T12:53:59.999Z,1202.21,1000.00,8.32,0.8323,477.05
805,SHORT,2022-06-14T17:55:59.999Z,1216.78,2022-06-14T23:27:59.999Z,1200.51,1000.00,13.37,1.3371,490.42
806,SHORT,2022-06-15T03:10:59.999Z,1192.80,2022-06-15T11:20:59.999Z,1071.39,1000.00,101.79,10.1786,592.21
807,SHORT,2022-06-15T15:08:59.999Z,1111.65,2022-06-15T16:02:59.999Z,1125.27,1000.00,-12.25,-1.2252,579.95
808,SHORT,2022-06-15T16:31:59.999Z,1100.68,2022-06-15T18:43:59.999Z,1174.05,1000.00,-66.66,-6.6659,513.30
809,SHORT,2022-06-16T02:16:59.999Z,1221.96,2022-06-16T15:30:59.999Z,1121.81,1000.00,81.96,8.1958,595.25
810,SHORT,2022-06-16T16:11:59.999Z,1105.14,2022-06-16T16:31:59.999Z,1118.96,1000.00,-12.51,-1.2505,582.75
811,SHORT,2022-06-16T18:01:59.999Z,1108.63,2022-06-16T21:32:59.999Z,1113.74,1000.00,-4.61,-0.4609,578.14
812,SHORT,2022-06-16T22:02:59.999Z,1100.73,2022-06-17T01:43:59.999Z,1100.94,1000.00,-0.19,-0.0191,577.95
813,SHORT,2022-06-17T03:49:59.999Z,1074.56,2022-06-17T04:53:59.999Z,1090.08,1000.00,-14.44,-1.4443,563.51
814,SHORT,2022-06-17T09:03:59.999Z,1093.77,2022-06-17T10:59:59.999Z,1104.89,1000.00,-10.17,-1.0167,553.34
815,SHORT,2022-06-17T12:04:59.999Z,1093.10,2022-06-17T16:16:59.999Z,1087.79,1000.00,4.86,0.4858,558.20
816,SHORT,2022-06-17T16:32:59.999Z,1077.81,2022-06-17T18:17:59.999Z,1084.37,1000.00,-6.09,-0.6086,552.11
817,SHORT,2022-06-17T18:44:59.999Z,1078.08,2022-06-17T20:02:59.999Z,1083.30,1000.00,-4.84,-0.4842,547.27
818,SHORT,2022-06-17T21:58:59.999Z,1082.37,2022-06-17T23:21:59.999Z,1089.86,1000.00,-6.92,-0.6920,540.35
819,SHORT,2022-06-18T01:25:59.999Z,1084.42,2022-06-18T11:28:59.999Z,1014.34,1000.00,64.62,6.4624,604.97
820,SHORT,2022-06-18T12:06:59.999Z,1003.78,2022-06-18T21:47:59.999Z,944.67,1000.00,58.89,5.8887,663.86
821,SHORT,2022-06-19T01:46:59.999Z,969.71,2022-06-19T07:15:59.999Z,968.04,1000.00,1.72,0.1722,665.58
822,SHORT,2022-06-19T08:11:59.999Z,955.53,2022-06-19T08:30:59.999Z,964.00,1000.00,-8.86,-0.8864,656.72
823,SHORT,2022-06-19T14:01:59.999Z,1024.67,2022-06-19T15:04:59.999Z,1037.17,1000.00,-12.20,-1.2199,644.52
824,SHORT,2022-06-19T15:17:59.999Z,1029.80,2022-06-19T15:32:59.999Z,1039.54,1000.00,-9.46,-0.9458,635.06
825,SHORT,2022-06-19T17:57:59.999Z,1047.09,2022-06-19T18:10:59.999Z,1051.85,1000.00,-4.55,-0.4546,630.52
826,SHORT,2022-06-20T00:11:59.999Z,1112.76,2022-06-20T04:34:59.999Z,1089.07,1000.00,21.29,2.1289,651.81
827,SHORT,2022-06-20T04:49:59.999Z,1078.48,2022-06-20T06:18:59.999Z,1080.48,1000.00,-1.85,-0.1854,649.95
828,SHORT,2022-06-20T06:24:59.999Z,1075.34,2022-06-20T06:47:59.999Z,1080.53,1000.00,-4.83,-0.4826,645.12
829,SHORT,2022-06-20T07:20:59.999Z,1073.26,2022-06-20T08:11:59.999Z,1086.03,1000.00,-11.90,-1.1898,633.23
830,SHORT,2022-06-20T12:46:59.999Z,1131.26,2022-06-20T14:52:59.999Z,1135.16,1000.00,-3.45,-0.3447,629.78
831,SHORT,2022-06-20T15:32:59.999Z,1124.98,2022-06-20T15:58:59.999Z,1133.83,1000.00,-7.87,-0.7867,621.91
832,SHORT,2022-06-20T16:03:59.999Z,1124.06,2022-06-20T20:13:59.999Z,1118.82,1000.00,4.66,0.4662,626.57
833,SHORT,2022-06-20T21:56:59.999Z,1104.82,2022-06-20T23:36:59.999Z,1119.06,1000.00,-12.89,-1.2889,613.68
834,SHORT,2022-06-21T02:41:59.999Z,1115.01,2022-06-21T03:16:59.999Z,1128.57,1000.00,-12.16,-1.2161,601.52
835,SHORT,2022-06-21T03:31:59.999Z,1116.28,2022-06-21T03:47:59.999Z,1126.68,1000.00,-9.32,-0.9317,592.21
836,SHORT,2022-06-21T10:23:59.999Z,1151.68,2022-06-21T10:36:59.999Z,1161.36,1000.00,-8.41,-0.8405,583.80
837,SHORT,2022-06-21T11:29:59.999Z,1148.62,2022-06-21T13:35:59.999Z,1163.97,1000.00,-13.36,-1.3364,570.44
838,SHORT,2022-06-21T16:17:59.999Z,1168.10,2022-06-21T16:21:59.999Z,1170.80,1000.00,-2.31,-0.2311,568.13
839,SHORT,2022-06-21T16:26:59.999Z,1169.22,2022-06-21T16:28:59.999Z,1172.08,1000.00,-2.45,-0.2446,565.68
840,SHORT,2022-06-21T16:53:59.999Z,1166.45,2022-06-21T23:02:59.999Z,1138.01,1000.00,24.38,2.4382,590.06
841,SHORT,2022-06-21T23:27:59.999Z,1119.95,2022-06-22T09:36:59.999Z,1091.78,1000.00,25.15,2.5153,615.21
842,SHORT,2022-06-22T12:45:59.999Z,1077.10,2022-06-22T13:43:59.999Z,1092.79,1000.00,-14.57,-1.4567,600.65
843,SHORT,2022-06-22T15:46:59.999Z,1089.78,2022-06-22T18:44:59.999Z,1085.13,1000.00,4.27,0.4267,604.91
844,SHORT,2022-06-22T18:50:59.999Z,1080.35,2022-06-23T00:22:59.999Z,1068.98,1000.00,10.52,1.0524,615.44
